Date,ItemID,Quantity
2014-11-27,512150,7
2014-11-27,515010,1
2014-11-27,512151,10
2014-11-27,513098,24
2014-11-27,513087,14
2014-11-27,513044,9
2014-11-27,513190,7
2014-11-27,515083,1
2014-11-27,512003,10
2014-11-27,513218,10
2014-11-27,513230,20
2014-11-27,BX-220X175,300
2014-11-28,515024,100
2014-11-28,515024,20
2014-11-28,515024,80
2014-11-28,515024,80
2014-11-28,515061,100
2014-11-28,515029,25
2014-11-28,515029,125
2014-11-28,515017,11
2014-11-28,515017,100
2014-11-28,515066,12
2014-11-28,515010,1
2014-11-28,515010,1
2014-11-28,515010,1
2014-11-28,512288,125
2014-11-28,515123,80
2014-11-28,515123,40
2014-11-28,515122,10
2014-11-28,515122,100
2014-11-28,515122,100
2014-11-28,515076,100
2014-11-28,515076,75
2014-11-28,513204,100
2014-11-28,513206,100
2014-11-28,513237,50
2014-11-28,512309,100
2014-11-28,513275,150
2014-11-28,515110,100
2014-11-28,515111,100
2014-11-28,512288,100
2014-11-28,515117,100
2014-11-28,541008,50
2014-11-28,541001,150
2014-11-28,541001,150
2014-11-28,515043,150
2014-11-28,515043,100
2014-11-28,515121,50
2014-11-28,515036HD,120
2014-11-28,515036HD,120
2014-11-28,513214,150
2014-11-28,515093,50
2014-11-28,515094,50
2014-11-28,515098,80
2014-11-28,515098,80
2014-11-28,515098,80
2014-11-28,515098,80
2014-11-28,515098,80
2014-11-28,515098,80
2014-11-28,515098,80
2014-11-28,515098,80
2014-11-28,515098,80
2014-11-28,515098,80
2014-11-28,515098,80
2014-11-28,515098,80
2014-11-28,515098,80
2014-11-28,515098,79
2014-11-28,515101,100
2014-11-28,515101,100
2014-11-28,515101,100
2014-11-28,541001,125
2014-11-28,541001,125
2014-11-28,513276,180
2014-11-28,515099,125
2014-11-28,515099,125
2014-11-28,515099,125
2014-11-28,515099,25
2014-11-28,515098,64
2014-11-28,512289,64
2014-11-28,513276,116
2014-11-28,513234,125
2014-11-28,513234,125
2014-11-28,513234,125
2014-11-28,513234,125
2014-11-28,513234,100
2014-11-28,513084,50
2014-11-28,515033,10
2014-11-28,515039,10
2014-11-28,513156,10
2014-11-28,513199,10
2014-11-28,513270,10
2014-11-28,513139,10
2014-12-01,513079,11
2014-12-01,513018,35
2014-12-01,512018,16
2014-12-01,513311,200
2014-12-01,513214,112
2014-12-01,HA590256,70
2014-12-01,512338,75
2014-12-01,512379,30
2014-12-01,512311,50
2014-12-01,513273,150
2014-12-01,513273,150
2014-12-01,513288,180
2014-12-02,515097,40
2014-12-02,513176,70
2014-12-02,515098,15
2014-12-02,541004,25
2014-12-02,513276,80
2014-12-02,513276,80
2014-12-02,515058,125
2014-12-03,515113,120
2014-12-03,513212,50
2014-12-03,515065,100
2014-12-03,515065,100
2014-12-03,515081,19
2014-12-03,515068,40
2014-12-03,513211,100
2014-12-03,513212,50
2014-12-03,512302,100
2014-12-03,512369,56
2014-12-03,515014,46
2014-12-03,513282,2
2014-12-03,512291,5
2014-12-03,512291,1
2014-12-03,512295,1
2014-12-04,510086,18
2014-12-04,512337,1
2014-12-04,513257,1
2014-12-04,510060,40
2014-12-04,515098,2
2014-12-04,515098,122
2014-12-04,515098,125
2014-12-04,515098,103
2014-12-04,515098,22
2014-12-04,515066,125
2014-12-04,515066,125
2014-12-04,515066,125
2014-12-04,513276,180
2014-12-04,513276,180
2014-12-04,513286,150
2014-12-04,513286,129
2014-12-04,515101,100
2014-12-04,515101,100
2014-12-04,515036HD,125
2014-12-04,515036HD,125
2014-12-04,515036HD,125
2014-12-04,515036HD,125
2014-12-04,512293,64
2014-12-04,513253,50
2014-12-04,513253,150
2014-12-04,513276,47
2014-12-04,512313,50
2014-12-04,512293,36
2014-12-04,515098,8
2014-12-04,515078,150
2014-12-04,515078,150
2014-12-04,513224,75
2014-12-04,515043,120
2014-12-04,515043,80
2014-12-04,515043,40
2014-12-04,515043,10
2014-12-04,515042,30
2014-12-04,515079,80
2014-12-04,515079,20
2014-12-04,515042,100
2014-12-04,512302,100
2014-12-04,512302,50
2014-12-04,512268,50
2014-12-04,515072,120
2014-12-04,515072,120
2014-12-04,512335,18
2014-12-04,513176,30
2014-12-05,512181,5
2014-12-05,513265,2
2014-12-05,510013,36
2014-12-08,513157,48
2014-12-08,513276,128
2014-12-08,510090,40
2014-12-08,513150,40
2014-12-08,517011,40
2014-12-08,BX-KINGDOM,400
2014-12-08,BX-KINGDOM,500
2014-12-08,513172,20
2014-12-09,541002,144
2014-12-09,515042,40
2014-12-09,515046,44
2014-12-09,515111,100
2014-12-09,515109,100
2014-12-09,513202,69
2014-12-09,513236,10
2014-12-09,513179,10
2014-12-09,513179,10
2014-12-09,513179,10
2014-12-09,513309,12
2014-12-09,512258,24
2014-12-09,513256,52
2014-12-09,513248,52
2014-12-09,512423,12
2014-12-10,512389,180
2014-12-10,513157,52
2014-12-10,513297,7
2014-12-10,512243,1
2014-12-10,515041,20
2014-12-10,515041,6
2014-12-11,513220,100
2014-12-11,513275,18
2014-12-11,515093,5
2014-12-11,515076,100
2014-12-11,513221,50
2014-12-11,513224,50
2014-12-11,513253,100
2014-12-11,513263,50
2014-12-11,513176,150
2014-12-11,513176,50
2014-12-11,513270,50
2014-12-11,513229,50
2014-12-11,513257,100
2014-12-11,541003,50
2014-12-11,513198,100
2014-12-11,513276,180
2014-12-11,513276,180
2014-12-11,513276,180
2014-12-11,513276,180
2014-12-11,513276,180
2014-12-11,513276,100
2014-12-11,518506,50
2014-12-11,515043,150
2014-12-11,515122,100
2014-12-11,515100,100
2014-12-11,515100,20
2014-12-11,515076,50
2014-12-11,513272,50
2014-12-11,513201,20
2014-12-11,513271,50
2014-12-11,513272,70
2014-12-11,513214,150
2014-12-11,513214,150
2014-12-11,513214,150
2014-12-11,513214,88
2014-12-11,512290,50
2014-12-11,513220,120
2014-12-11,515078,150
2014-12-11,515078,150
2014-12-11,515078,125
2014-12-11,512208,100
2014-12-11,513309,50
2014-12-11,513276,180
2014-12-11,513276,180
2014-12-11,512302,100
2014-12-11,512302,44
2014-12-11,513276,37
2014-12-11,541009,60
2014-12-11,515101,60
2014-12-11,515066,25
2014-12-11,515066,25
2014-12-11,513286,175
2014-12-11,513276,180
2014-12-12,513253,50
2014-12-12,513272,41
2014-12-12,513272,27
2014-12-12,513259,8
2014-12-15,512329,40
2014-12-15,512370,100
2014-12-15,513275,7
2014-12-15,513275,120
2014-12-15,513275,150
2014-12-15,513275,150
2014-12-15,510078,8
2014-12-15,513298,200
2014-12-15,513266,60
2014-12-15,513276,120
2014-12-15,513224,50
2014-12-15,513224,45
2014-12-16,515103,100
2014-12-16,515103,10
2014-12-16,HA590360,50
2014-12-16,513290,30
2014-12-17,510096,94
2014-12-17,510011,11
2014-12-17,510007,144
2014-12-17,510007,144
2014-12-17,510007,144
2014-12-17,515113,100
2014-12-17,515113,100
2014-12-17,515113,100
2014-12-17,513206,100
2014-12-17,513206,100
2014-12-17,541003,100
2014-12-17,513220,100
2014-12-17,515100,20
2014-12-17,515100,80
2014-12-17,515066,125
2014-12-17,515066,125
2014-12-17,515066,125
2014-12-17,515066,125
2014-12-17,515078,8
2014-12-17,515066,89
2014-12-17,515067,30
2014-12-17,515067,150
2014-12-17,515036HD,125
2014-12-17,515036HD,125
2014-12-17,515036HD,125
2014-12-17,515036HD,125
2014-12-17,515036HD,125
2014-12-17,515036HD,35
2014-12-17,515066,78
2014-12-17,515098,80
2014-12-17,515098,80
2014-12-18,510020,88
2014-12-18,510020,132
2014-12-18,510020,19
2014-12-18,513311,200
2014-12-18,512372,45
2014-12-18,518516,210
2014-12-19,515110,100
2014-12-19,515108,100
2014-12-19,515042,148
2014-12-19,541001,112
2014-12-19,515042,60
2014-12-19,515035,12
2014-12-19,515115,12
2014-12-19,515076,20
2014-12-19,515080,24
2014-12-19,515076,28
2014-12-19,516003,100
2014-12-19,515042,32
2014-12-19,541001,12
2014-12-19,515111,12
2014-12-19,515034,12
2014-12-19,SP550104,20
2014-12-19,SP550104,80
2014-12-19,515034,52
2014-12-19,515102,20
2014-12-19,515102,80
2014-12-19,515058,125
2014-12-19,515058,125
2014-12-19,515058,113
2014-12-19,541004,12
2014-12-19,541004,40
2014-12-19,541004,24
2014-12-19,515086,48
2014-12-19,516012,52
2014-12-19,516005,24
2014-12-19,516006,100
2014-12-19,516007,108
2014-12-19,516007,472
2014-12-19,517009,100
2014-12-19,515058,125
2014-12-19,515058,125
2014-12-19,515088,12
2014-12-19,515088,12
2014-12-19,541004,24
2014-12-19,515061,3
2014-12-19,516007,72
2014-12-19,516007,36
2014-12-19,516007,252
2014-12-19,515024,100
2014-12-19,515003,150
2014-12-19,512284,65
2014-12-19,512284,20
2014-12-19,513272,1
2014-12-22,510007,15
2014-12-22,510078,385
2014-12-22,510078,385
2014-12-22,513257,100
2014-12-22,513298,15
2014-12-22,513285,15
2014-12-22,510052,100
2014-12-22,513057,81
2014-12-22,513239,1
2014-12-22,512334,1
2014-12-23,513276,12
2014-12-23,513276,3
2014-12-23,512263,42
2014-12-23,515093,30
2014-12-23,513123,30
2014-12-23,512273K,1
2014-12-23,512273K,4
2014-12-23,513253,91
2014-12-23,513310,72
2014-12-23,512384,20
2014-12-23,513308,12
2014-12-23,512289,16
2014-12-23,513297,4
2014-12-23,512161,12
2014-12-24,513272,50
2014-12-24,512199,52
2014-12-24,512253,136
2014-12-24,513128,12
2014-12-29,515010,100
2014-12-29,515090,12
2014-12-29,515093,32
2014-12-29,513282,100
2014-12-29,513282,100
2014-12-29,513220,275
2014-12-29,515078,150
2014-12-29,515078,150
2014-12-29,515078,150
