ItemID,Date,Price
512301,8/28/2012,31.8
513205,8/28/2012,19.1
513224,8/28/2012,17.42
513230,8/28/2012,26
513234,8/28/2012,32.3
513138,8/28/2012,20.5
512220,8/28/2012,16.1
513273,8/28/2012,43.5
513159,8/28/2012,29.65
515093,8/28/2012,63.5
513044,8/29/2012,16.8
513204,8/29/2012,22.5
515057,8/29/2012,48.5
515043,8/29/2012,42.8
518510,8/29/2012,10.5
512152,8/29/2012,13.8
513203,8/29/2012,17.5
515003,8/29/2012,25.5
515017,8/29/2012,23.8
513137,8/29/2012,17.5
513159,8/29/2012,20.13
513200,8/29/2012,23
515019,8/29/2012,27.8
515071,8/29/2012,26.4
515051,8/29/2012,24.5
513115,8/29/2012,11.78
512201,8/29/2012,19.8
515020,8/29/2012,43.12
515097,8/29/2012,39.8
HA590250,8/29/2012,31.5
512353,8/29/2012,27.8
513229,8/31/2012,30.06
513236,8/31/2012,22.09
513207,8/31/2012,30.06
512203,8/31/2012,13.63
513130,8/31/2012,5.83
513176,8/31/2012,26.59
513177,8/31/2012,26.59
513178,8/31/2012,19.66
513207,8/31/2012,30.06
513229,8/31/2012,30.06
513232,8/31/2012,26.64
513256,8/31/2012,30.32
513270,8/31/2012,32.3
515043,8/31/2012,37.41
515065,8/31/2012,37.27
515078,8/31/2012,36.47
512034,8/31/2012,9.68
512184,8/31/2012,17.67
512210,8/31/2012,14.27
512223,8/31/2012,22.37
512310,8/31/2012,18.4
512370,8/31/2012,28.41
512371,8/31/2012,27.87
515097,8/31/2012,34.3
515100,8/31/2012,50.53
512012,8/31/2012,9.75
512150,8/31/2012,19.3
512152,8/31/2012,13.8
512167,8/31/2012,10
512175,8/31/2012,10.54
512178,8/31/2012,10.6
512180,8/31/2012,13.46
512188,8/31/2012,11.3
512197,8/31/2012,13.8
512201,8/31/2012,19.8
512206,8/31/2012,19.97
512217,8/31/2012,19.3
512218,8/31/2012,18.9
512223,8/31/2012,21
513087,8/31/2012,17.5
513090,8/31/2012,22.9
513105,8/31/2012,10
513123,8/31/2012,17.8
513137,8/31/2012,17.5
513152,8/31/2012,14.5
513157,8/31/2012,16.8
513158,8/31/2012,18.5
513159,8/31/2012,20.13
513175,8/31/2012,16.8
513200,8/31/2012,23
513203,8/31/2012,17.5
513204,8/31/2012,22.5
513205,8/31/2012,17.7
513224,8/31/2012,16.85
513236,8/31/2012,22.45
513017K,8/31/2012,14.1
518510,8/31/2012,10.5
518514,8/31/2012,11.3
521000,8/31/2012,15.3
512257,8/31/2012,22.56
512347,8/31/2012,28.8
513111,8/31/2012,11.8
515003,8/31/2012,25.5
515017,8/31/2012,23.8
515019,8/31/2012,27.8
515020,8/31/2012,43.12
515021,8/31/2012,38.5
515024,8/31/2012,24.6
515025,8/31/2012,46.76
515029,8/31/2012,26.2
515042,8/31/2012,34.65
515043,8/31/2012,42.8
515057,8/31/2012,48.5
515058,8/31/2012,31.56
515072,8/31/2012,35.3
515081,8/31/2012,91
515097,8/31/2012,34.5
515101,8/31/2012,45.05
515040,8/31/2012,12.5
515071,8/31/2012,26.4
512262,8/31/2012,19.5
FW348,8/31/2012,36.8
515109,8/31/2012,54
515104,8/31/2012,54
515108,8/31/2012,54
515105,8/31/2012,54
VKBA529,9/4/2012,3.5
BM500006,9/4/2012,15.31
511029,9/4/2012,7.5
512233,9/4/2012,29.44
513255,9/4/2012,23.63
HA590125,9/4/2012,33.3
512370,9/4/2012,33.39
515064,9/4/2012,42.22
513265,9/4/2012,20.5
HA590046,9/4/2012,28.6
513308,9/4/2012,29.5
513297,9/4/2012,27.5
515119,9/4/2012,46.3
513189,9/4/2012,22.55
512273,9/7/2012,26.74
513255,9/7/2012,27.56
HA590046,9/7/2012,21.2
512338,9/7/2012,38.6
513203,9/7/2012,18.6
513236,9/7/2012,24.38
513214,9/7/2012,27.23
518507,9/7/2012,11.1
518509K,9/7/2012,12.73
513035,9/7/2012,9.98
512327,9/7/2012,20.99
515040,9/7/2012,15.89
512012,9/7/2012,9.29
512188,9/7/2012,12.78
512207,9/7/2012,22.68
512209,9/7/2012,17.56
515042,9/7/2012,45.46
513277,9/7/2012,40.25
512426,9/7/2012,33.5
513311,9/7/2012,19.6
516007,9/7/2012,4.62
510024,9/7/2012,4.52
513058T,9/7/2012,4.57
517008,9/7/2012,4.1
513205,9/7/2012,17.24
513206,9/7/2012,28.05
512256,9/7/2012,22.79
513268,9/7/2012,31.08
512251,9/7/2012,13.72
510077,9/7/2012,4.1
511034,9/7/2012,6.3
510087,9/7/2012,8.26
510096 W/ABS,9/7/2012,7.65
516010,9/7/2012,8.8
510090,9/7/2012,7.6
513300,9/7/2012,29.5
512218,9/7/2012,17.74
513299,9/10/2012,27.5
512389,9/10/2012,32.5
512384,9/10/2012,29
513296,9/10/2012,31.3
512311,9/10/2012,20.8
HA590063,9/10/2012,27.5
512136,9/10/2012,18.33
512321,9/10/2012,30.6
512379,9/10/2012,34.5
HA590256,9/10/2012,31.5
511031,9/11/2012,6.45
510028,9/11/2012,7.82
512173,9/11/2012,17.39
510003K,9/11/2012,7.6
515054,9/11/2012,29.6
512338,9/11/2012,29.8
518508,9/11/2012,15
512169,9/11/2012,20.15
515066,9/11/2012,52.02
512292,9/11/2012,32.5
513220,9/11/2012,24.46
513255,9/11/2012,23.5
513224,9/11/2012,18.78
515078,9/11/2012,51.75
513264,9/11/2012,25.3
518515,9/11/2012,14.9
HA590250,9/11/2012,33.5
513194,9/11/2012,20.74
512167,9/11/2012,11.02
513084,9/11/2012,18.2
513123,9/11/2012,15.81
513156,9/11/2012,18.43
515052,9/11/2012,29.72
515059,9/11/2012,51.17
513204,9/11/2012,27.81
513205,9/11/2012,15.38
515072,9/11/2012,30.6
518507,9/11/2012,7.88
515020,9/11/2012,52.8
512249,9/11/2012,27.33
513104,9/11/2012,14.1
513188,9/11/2012,28.64
513202,9/11/2012,15.5
515036,9/11/2012,35.8
515053,9/11/2012,33.29
513188,9/11/2012,28.64
515036,9/11/2012,35.8
515053,9/11/2012,33.29
513152,9/11/2012,14.8
512124,9/11/2012,13.9
512277,9/11/2012,13.2
512252,9/11/2012,11.9
541003,9/11/2012,33.92
512186,9/11/2012,11.2
512329,9/11/2012,24.56
512283,9/11/2012,29.15
512227,9/11/2012,14.52
512228,9/11/2012,14.52
512319,9/11/2012,14.2
512320,9/11/2012,28.36
512348,9/11/2012,25.12
512347,9/11/2012,26.7
512349,9/11/2012,27.5
513257,9/11/2012,26.5
512233,9/11/2012,25.4
512338,9/11/2012,28.3
513307,9/11/2012,32.5
513306,9/11/2012,32.5
512322,9/11/2012,27.15
512345,9/11/2012,27.5
512358,9/11/2012,27.72
512282,9/11/2012,29.15
512325,9/11/2012,19.63
513258,9/11/2012,27.3
515036,9/11/2012,27.3
HA590253,9/11/2012,31.5
515117,9/11/2012,47.5
513254,9/11/2012,24.26
513176,9/12/2012,31.02
512218,9/12/2012,20.75
512245,9/12/2012,19.5
512001,9/18/2012,28.07
512246,9/18/2012,49.09
513137,9/18/2012,22.55
510010,9/18/2012,5.86
513104,9/24/2012,14.1
513156,9/24/2012,18.3
513167,9/24/2012,32.3
515050,9/24/2012,42.9
513188,9/24/2012,28.64
513217,9/24/2012,43.66
513218,9/24/2012,43.66
515036,9/24/2012,35.8
515053,9/24/2012,33.29
515086,9/24/2012,53.55
515096,9/24/2012,55.67
515097,9/24/2012,70.88
512253,9/24/2012,24.41
512288,9/24/2012,36.34
